Comment,topDesignator,bottomDesignator,Footprint,JLCPCB Part #,MFR Part #,Manufacturer,Description,Stock,Package,Datasheet
47nF,"C1,C2,C157",,C0402,C272875,CC0402KRX7R9BB473,Yageo,50V 47nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,407007,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-CC0402KRX7R9BB473_C272875.pdf
1.0pF,C105,,C0402,C72134,GJM1555C1H1R0WB01D,Murata Electronics,50V 1pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,142137,402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081612_Murata-Electronics-GJM1555C1H1R0WB01D_C72134.pdf
1.3pF,C106,,C0402,C88880,GJM1555C1H1R3WB01D,Murata Electronics,50V 1.3pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,13082,402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-GJM1555C1H1R3WB01D_C88880.pdf
16pF,"C127,C128,C80",,C0402,C77590,CC0402JRNPO9BN160,Yageo,50V 16pF NP0 ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,133648,402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-CC0402JRNPO9BN160_C77590.pdf
0.75pF,C136,,C0402,C76914,GJM1555C1HR75WB01D,Murata Electronics,50V 0.75pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,13542,402,https://www.lcsc.com/datasheet/lcsc_datasheet_1811081611_Murata-Electronics-GJM1555C1HR75WB01D_C76914.pdf
7.5pF,"C138,C161",,C0402,C505479,CC0402CRNPO9BN7R5,Yageo,50V 7.5pF NP0 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,15503,402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2003312210_YAGEO-CC0402CRNPO9BN7R5_C505479.pdf
11pF,"C139,C162",,C0402,C161525,GRM1555C1H110JA01D,Murata Electronics,50V 11pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,15839,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-GRM1555C1H110JA01D_C161525.pdf
6.8pF,"C140,C163",,C0402,C1576,0402CG6R8C500NT,Fh (guangdong Fenghua Advanced tech),50V 6.8pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,128596,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG6R8C500NT_C1576.pdf
3.0pF,C153,,C0402,C327228,CC0402BRNPO9BN3R0,Yageo,50V 3pF NP0 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,114561,402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811141233_YAGEO-CC0402BRNPO9BN3R0_C327228.pdf
2.7nF,C155,,C0402,C22435967,CGA0402X7R272K500GT,Hre,50V 2.7nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,139805,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2405231404_HRE-CGA0402X7R272K500GT_C22435967.pdf
680pF,C156,,C0402,C107030,CC0402KRX7R9BB681,Yageo,50V 680pF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,119274,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-CC0402KRX7R9BB681_C107030.pdf
3.9pF,C158,,C0402,C1566,0402CG3R9C500NT,Fh (guangdong Fenghua Advanced tech),50V 3.9pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,302231,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG3R9C500NT_C1566.pdf
2.4pF,C159,,C0402,C48346,0402CG2R4C500NT,Fh (guangdong Fenghua Advanced tech),50V 2.4pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,312060,402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG2R4C500NT_C48346.pdf
0.1uF,"C245,C247,C249,C250,C252,C254,C256,C258,C259,C260,C262,C263,C264,C266,C267,C268,C270,C271,C272,C274,C275,C276,C278,C279,C280,C282,C283,C284,C286,C318",,RESC0402_N,C307331,CL05B104KB54PNC,Samsung electro-mechanics,50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,10822474,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf
NFM31PC276B0J3L,"C5,C15,C25,C35,C45",,NFM31HK103R1H3L,C118987,NFM31PC276B0J3L,Murata Electronics,"27uF ±20% 5mΩ SMD-3P,1.6x3.2mm Feed Through Capacitors ROHS",4879,"SMD-3P,1.6x3.2mm",https://www.lcsc.com/datasheet/lcsc_datasheet_1810201315_Murata-Electronics-NFM31PC276B0J3L_C118987.pdf
