JLCPCB Part #,MFR Part #,Manufacturer,Description,Stock,Package,Datasheet
C2152213,"TLP3475(TP,F",Toshiba,"1 Form A(SPST-NO) 1.27V 50V 1Ω 300mA AC,DC VSON-4(1.5x2.5)  Solid State Relays - MOS Output (PhotoMOS) ROHS",0,VSON-4(1.5x2.5),https://www.lcsc.com/datasheet/lcsc_datasheet_2411220132_TOSHIBA-TLP3475-TP-F_C2152213.pdf
C72134,GJM1555C1H1R0WB01D,Murata Electronics,50V 1pF C0G 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,142137,0402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081612_Murata-Electronics-GJM1555C1H1R0WB01D_C72134.pdf
C107030,CC0402KRX7R9BB681,Yageo,50V 680pF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,119274,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-CC0402KRX7R9BB681_C107030.pdf
C127965,DAC8562SDGSR,Texas Instruments,VSSOP-10-0.5mm Digital to Analog Converters (DAC) ROHS,664,VSSOP-10-0.5mm,https://www.lcsc.com/datasheet/lcsc_datasheet_1809291523_Texas-Instruments-DAC8562SDGSR_C127965.pdf
C2058017,TLV9102IPWR,Texas Instruments,Dual channel 10pA 1.1MHz TSSOP-8  Operational Amplifier ROHS,19,TSSOP-8,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2303012230_Texas-Instruments-TLV9102IPWR_C2058017.pdf
C25744,0402WGF1002TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,6952275,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf
C368442,WR04X66R5FTL,Walsin Tech Corp,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 66.5Ω 0402  Chip Resistor - Surface Mount ROHS,6649,0402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Walsin-Tech-Corp-WR04X66R5FTL_C368442.pdf
C25741,0402WGF1003TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 100kΩ 0402 Chip Resistor - Surface Mount ROHS,4716586,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF1003TCE_C25741.pdf
C272875,CC0402KRX7R9BB473,Yageo,50V 47nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,407007,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-CC0402KRX7R9BB473_C272875.pdf
C14709,BLM18PG121SN1D,Murata Electronics,50mΩ ±25% 120Ω@100MHz 0603 Ferrite Beads ROHS,1044223,0603,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-BLM18PG121SN1D_C14709.pdf
C69932,TPS72325DBVR,Texas Instruments,"200mA 65dB Fixed 2.5V Negative electrode 10V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",3867,SOT-23-5,https://www.lcsc.com/datasheet/lcsc_datasheet_1809251717_Texas-Instruments-TPS72325DBVR_C69932.pdf
C1576,0402CG6R8C500NT,Fh (guangdong Fenghua Advanced tech),50V 6.8pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,128596,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG6R8C500NT_C1576.pdf
C505479,CC0402CRNPO9BN7R5,Yageo,50V 7.5pF NP0 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,15503,0402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2003312210_YAGEO-CC0402CRNPO9BN7R5_C505479.pdf
